㛊	㛆
㞒	屓
㟜	𡾱
㤖	詝
㭣	𣙎
㿛	癧
䑽	𦪙
䓨	罃
䘞	𧜗
䟢	躎
䤪	𨦃
丟	丢
偽	僞
傯	偬
兌	兑
內	内
兹	茲
冊	册
別	别
刪	删
剁	刴
剎	刹
勻	匀
即	卽
厩	廏
厮	廝
叁	叄
叙	敘
吶	呐
咤	吒
唧	喞
啒	唿
啟	啓
噓	嘘
囃	𠱞
囪	囱
垛	垜
夠	够
姍	姗
姹	奼
媪	媼
媯	嬀
嫺	嫻
嬤	嬷
屉	屜
峯	峰
幂	冪
廄	廏
廈	厦
廝	厮
弒	弑
彥	彦
恥	耻
悅	悦
愠	慍
愨	慤
戯	戱
戶	户
拋	抛
挆	挅
挩	捝
揾	搵
搖	摇
携	攜
摣	揸
撐	撑
敓	敚
敻	夐
既	旣
暅	𣈶
暨	曁
朵	朶
柵	栅
桪	樳
梲	棁
椁	槨
椢	槶
概	槪
榅	榲
槨	椁
樧	榝
橯	耮
櫱	蘖
歿	殁
毀	毁
毡	氈
毶	𣯶
氲	氳
沄	澐
沒	没
況	况
涗	涚
湧	涌
湰	漋
溁	濚
溈	潙
溉	漑
溼	濕
滾	滚
灩	灔
灾	災
為	爲
烗	炌
煖	煊
煴	熅
牦	犛
狝	獮
猬	蝟
珐	琺
瑤	瑶
瓮	甕
產	産
畽	疃
疱	皰
瘺	瘻
眦	眥
碍	礙
碱	鹼
祕	秘
祢	禰
禀	稟
禿	秃
稅	税
稆	穭
穭	稆
窃	竊
窯	窑
笋	筍
箓	籙
粵	粤
糇	餱
糍	餈
糱	糵
絕	絶
緡	緍
緼	縕
縆	緪
罵	駡
羋	芈
羣	群
肴	餚
脈	脉
脫	脱
腭	齶
腼	靦
腽	膃
苧	薴
茧	繭
茲	兹
荊	荆
菧	茋
蒀	蒕
蒍	蔿
蒏	醟
蒞	莅
蔂	虆
蕰	薀
藴	蘊
蘖	櫱
虆	蔂
虛	虚
虬	虯
虮	蟣
虯	虬
蚕	蠶
蛻	蜕
蝨	虱
袄	襖
袞	衮
襉	𧟉
詠	咏
說	説
諡	謚
謠	謡
豔	艶
貓	猫
贗	贋
趓	𧻞
跺	跥
踪	蹤
躲	躱
輼	轀
遙	遥
醖	醞
銳	鋭
鐅	䥕
鐗	鐧
钂	鎲
閱	閲
閿	闅
陦	隯
陯	埨
隉	陧
隐	隱
隶	隸
隽	雋
雇	僱
霉	黴
霡	霢
霢	霡
靔	靝
鞲	韝
頹	頽
顏	顔
鯾	鯿
鰫	鱅
鶿	鷀
鷈	鷉
鷡	鵐
麪	麵
麼	麽
鼴	鼹
鼹	鼴
齭	齼
𡒄	壈
𣓌	桕
𥐯	𥖅
𫂈	䉬
