activitykit	ActivityKit
ai	AI
airdrop	AirDrop
airplay	AirPlay
airpods	AirPods
airpodsmax	AirPods Max
airpodspro	AirPods Pro
airtag	AirTag
android	Android
appkit	AppKit
appletv	Apple TV
appstore	App Store
arkts	ArkTS
arkui	ArkUI
audioos	audioOS
bigsur	Big Sur
bridgeos	bridgeOS
cafe	Café
callkit	CallKit
cantonese	Cantonese
capslock	Caps Lock
capslock	CapsLock
carplay	CarPlay
chatgpt	ChatGPT
chinese	Chinese
chromeos	ChromeOS
clockkit	ClockKit
cloudkit	CloudKit
cmake	CMake
coloros	ColorOS
coretext	Core Text
deepl	DeepL
deepseek	DeepSeek
digitalocean	DigitalOcean
dimsum	Dim Sum
directx	DirectX
dockkit	DockKit
duckduckgo	DuckDuckGo
eg	e.g.
egpu	eGPU
esim	eSIM
etc	etc.
faceid	Face ID
facetime	FaceTime
fcp	Final Cut Pro
fdroid	F-Droid
ffmpeg	FFmpeg
finalcutpro	Final Cut Pro
freebsd	FreeBSD
gboard	Gboard
github	GitHub
gitlib	GitLib
gnupg	GnuPG
grapheneos	GrapheneOS
harmonyos	HarmonyOS
healthkit	HealthKit
heisenberg	Heisenberg
hifi	Hi-Fi
hires	Hi-Res
homekit	HomeKit
homepod	HomePod
homepodmini	HomePod mini
hyperos	HyperOS
icloud	iCloud
ie	i.e.
imac	iMac
imacpro	iMac Pro
imessage	iMessage
inputmethodkit	InputMethodKit
ios	iOS
ipad	iPad
ipadair	iPad Air
ipadmini	iPad mini
ipados	iPadOS
ipadpro	iPad Pro
iphone	iPhone
iphoneair	iPhone Air
iphonemini	iPhone mini
iphoneplus	iPhone Plus
iphonepro	iPhone Pro
iphonepromax	iPhone Pro Max
iphonese	iPhone SE
ipod	iPod
iqoo	iQOO
itunes	iTunes
javafx	JavaFX
javascript	JavaScript
jetbrains	JetBrains
latex	LaTeX
lineageos	LineageOS
localsend	LocalSend
macappstore	Mac App Store
macbook	MacBook
macbookair	MacBook Air
macbookneo	MacBook Neo
macbookpro	MacBook Pro
macmini	Mac mini
macos	macOS
macosx	Mac OS X
macpro	Mac Pro
magicos	MagicOS
mapkit	MapKit
mas	Mac App Store
matebook	MateBook
matebookfold	MateBook Fold
matebookpro	MateBook Pro
matepad	MatePad
matepadpro	MatePad Pro
mba	MBA
mba	MacBook Air
mbn	MacBook Neo
mbp	MacBook Pro
misans	MiSans
miui	MIUI
monterey	Monterey
musickit	MusicKit
myos	MyOS
mysql	MySQL
netbsd	NetBSD
objectivec	Objective-C
onedrive	OneDrive
oneplus	OnePlus
oneui	One UI
openai	OpenAI
openapi	OpenAPI
openbsd	OpenBSD
opencc	OpenCC
opencl	OpenCL
openclaw	OpenClaw
opencode	OpenCode
opencv	OpenCV
opengl	OpenGL
openmtp	OpenMTP
openrouter	OpenRouter
opensuse	openSUSE
originos	OriginOS
osx	OS X
paypal	PayPal
passkit	PassKit
pencilkit	PencilKit
photokit	PhotoKit
promotion	ProMotion
pushkit	PushKit
pytorch	PyTorch
qrcode	QR Code
quicktime	QuickTime
realmeui	realme UI
replaykit	ReplayKit
researchkit	ResearchKit
schrodinger	Schrödinger
sequoia	Sequoia
shareplay	SharePlay
sirikit	SiriKit
sonoma	Sonoma
spacex	SpaceX
sqlite	SQLite
steamos	SteamOS
storekit	StoreKit
swiftui	SwiftUI
tahoe	Tahoe
testflight	TestFlight
tiktok	TikTok
tipkit	TipKit
touchid	Touch ID
tvos	tvOS
typec	Type-C
typeduck	TypeDuck
typescript	TypeScript
uikit	UIKit
usb	USB
usbc	USB-C
ventura	Ventura
visionkit	VisionKit
visionos	visionOS
visionpro	Vision Pro
vpn	VPN
watchkit	WatchKit
watchos	watchOS
webassembly	WebAssembly
webgl	WebGL
webkit	WebKit
wechat	WeChat
whatsapp	WhatsApp
widgetkit	WidgetKit
wifi	Wi-Fi
windows	Windows
winui	WinUI
wordpress	WordPress
xcode	Xcode
youtube	YouTube
yumcha	Yum Cha
alpha	Α
beta	Β
gamma	Γ
delta	Δ
epsilon	Ε
zeta	Ζ
eta	Η
theta	Θ
iota	Ι
kappa	Κ
lambda	Λ
mu	Μ
nu	Ν
xi	Ξ
omicron	Ο
pi	Π
rho	Ρ
sigma	Σ
tau	Τ
upsilon	Υ
phi	Φ
chi	Χ
psi	Ψ
omega	Ω
alpha	α
beta	β
gamma	γ
delta	δ
epsilon	ε
zeta	ζ
eta	η
theta	θ
iota	ι
kappa	κ
lambda	λ
mu	μ
nu	ν
xi	ξ
omicron	ο
pi	π
rho	ρ
sigma	σ
sigma	ς
tau	τ
upsilon	υ
phi	φ
chi	χ
psi	ψ
omega	ω
ajing	A型
bjing	B型
ojing	O型
abjing	AB型
aying	A型
bying	B型
oying	O型
abying	AB型
ajing	🅰️
bjing	🅱️
ojing	🅾️
abjing	🆎
aying	🅰️
bying	🅱️
oying	🅾️
abying	🆎
atm	ATM
atm	🏧
baby	👶🏻
bb	👶🏻
bciu	B超
bchiu	B超
dna	DNA
dna	🧬
goat	GOAT
goat	🐐
mgei	M記
ok	OK
ok	👌
ok	🆗
sos	SOS
sos	🆘
wifi	Wi-Fi
wlan	WLAN
wifi	🛜
wlan	🛜
wc	WC
wc	🚾
tm	™
sm	℠
command	command
command	⌘
option	option
option	⌥
alt	alt
alt	⎇
control	control
control	⌃
shift	shift
shift	⇧
capslock	Caps Lock
capslock	⇪
escape	escape
escape	⎋
esc	esc
esc	⎋
eject	eject
eject	⏏
tab	tab
tab	⇥
return	return
return	⏎
return	↵
enter	enter
enter	⏎
enter	↵
enter	⌅
backspace	backspace
backspace	⌫
delete	delete
delete	⌫
delete	⌦
clear	clear
clear	⌧
