我	wo
係	xi
你	ni
佢	qu
唔	wu
嘅	kai
啊	a
好	hao
都	dou
呢	ne
就	jiu
個	ge
去	qu
有	you
啦	la
到	dao
喺	xi
噉	dan
咁	gan
啲	di
同	tong
㗎	jia
幾	ji
講	jiang
咗	zuo
咩	mie
要	yao
冇	mao
話	hua
睇	di
可以	ke yi
得	de
呢個	ne ge
地	di
喇	la
一個	yi ge
又	you
嘢	ye
會	hui
度	du
家	jia
一	yi
真係	zhen xi
唔係	wu xi
自己	zi ji
住	zhu
阿	a
而今	er jin
而家	er jia
嗰	ge
想	xiang
喎	wai
的	de
唔好	wu hao
人	ren
我哋	wo die
做	zuo
之後	zhi hou
哋	die
呀	ya
先	xian
乜	mie
食	shi
都係	dou xi
果	guo
嘞	lei
隻	zhi
知	zhi
但	dan
已經	yi jing
不過	bu guo
畀	bi
返	fan
搵	wen
米	mi
如果	ru guo
囉	luo
下	xia
多	duo
即	ji
比	bi
過	guo
上	shang
無	wu
所以	suo yi
叫	jiao
見	jian
唔知	wu zhi
就係	jiu xi
好似	hao shi
好多	hao duo
再	zai
但係	dan xi
覺得	jue de
走	zou
聽	ting
事	shi
點	dian
仲	zhong
其實	qi shi
對	dui
而	er
哦	o
唔會	wu hui
點解	dian jie
幫	bang
應該	ying gai
爲	wei
見到	jian dao
姐姐	jie jie
公司	gong si
諗	shen
屋己	wu ji
屋企	wu qi
入	ru
亞	ya
吖	ya
打	da
埋	mai
完	wan
邊個	bian ge
未	wei
朋友	peng you
著	zhu
個人	ge ren
噉樣	dan yang
大	da
倒	dao
知道	zhi dao
以	yi
將	jiang
出	chu
條	tiao
用	yong
今日	jin ri
快	kuai
晒	shai
坐	zuo
時候	shi hou
唔到	wu dao
識	shi
記	ji
落	luo
問	wen
然後	ran hou
即係	ji xi
手	shou
緊	jin
死	si
正	zheng
向	xiang
成日	cheng ri
開	kai
行	xing
電話	dian hua
鍾意	zhong yi
香港	xiang gang
大家	da jia
間	jian
兩	liang
佢哋	qu die
開始	kai shi
一定	yi ding
望	wang
三	san
係咪	xi mi
可能	ke neng
林	lin
哥	ge
飲	yin
跟住	gen zhu
樣	yang
問題	wen ti
一齊	yi qi
件	jian
睏	kun
分	fen
阿爸	a ba
邊度	bian du
有啲	you di
亦	yi
邊	bian
等	deng
笑	xiao
喺度	xi du
買	mai
野	ye
呢啲	ne di
搞	gao
