1F476	1F476.1F3FB
1F466	1F466.1F3FB
1F467	1F467.1F3FB
1F468	1F468.1F3FB
1F9D4.200D.2642.FE0F	1F9D4.1F3FB.200D.2642.FE0F
1F9D4.200D.2640.FE0F	1F9D4.1F3FB.200D.2640.FE0F
1F468.200D.1F9B0	1F468.1F3FB.200D.1F9B0
1F468.200D.1F9B1	1F468.1F3FB.200D.1F9B1
1F468.200D.1F9B3	1F468.1F3FB.200D.1F9B3
1F468.200D.1F9B2	1F468.1F3FB.200D.1F9B2
1F469	1F469.1F3FB
1F469.200D.1F9B0	1F469.1F3FB.200D.1F9B0
1F469.200D.1F9B1	1F469.1F3FB.200D.1F9B1
1F469.200D.1F9B3	1F469.1F3FB.200D.1F9B3
1F469.200D.1F9B2	1F469.1F3FB.200D.1F9B2
1F471.200D.2640.FE0F	1F471.1F3FB.200D.2640.FE0F
1F471.200D.2642.FE0F	1F471.1F3FB.200D.2642.FE0F
1F474	1F474.1F3FB
1F475	1F475.1F3FB
1F64D.200D.2642.FE0F	1F64D.1F3FB.200D.2642.FE0F
1F64D.200D.2640.FE0F	1F64D.1F3FB.200D.2640.FE0F
1F64E.200D.2642.FE0F	1F64E.1F3FB.200D.2642.FE0F
1F64E.200D.2640.FE0F	1F64E.1F3FB.200D.2640.FE0F
1F645.200D.2642.FE0F	1F645.1F3FB.200D.2642.FE0F
1F645.200D.2640.FE0F	1F645.1F3FB.200D.2640.FE0F
1F646.200D.2642.FE0F	1F646.1F3FB.200D.2642.FE0F
1F646.200D.2640.FE0F	1F646.1F3FB.200D.2640.FE0F
1F481.200D.2642.FE0F	1F481.1F3FB.200D.2642.FE0F
1F481.200D.2640.FE0F	1F481.1F3FB.200D.2640.FE0F
1F64B.200D.2642.FE0F	1F64B.1F3FB.200D.2642.FE0F
1F64B.200D.2640.FE0F	1F64B.1F3FB.200D.2640.FE0F
1F9CF.200D.2642.FE0F	1F9CF.1F3FB.200D.2642.FE0F
1F9CF.200D.2640.FE0F	1F9CF.1F3FB.200D.2640.FE0F
1F647.200D.2642.FE0F	1F647.1F3FB.200D.2642.FE0F
1F647.200D.2640.FE0F	1F647.1F3FB.200D.2640.FE0F
1F926.200D.2642.FE0F	1F926.1F3FB.200D.2642.FE0F
1F926.200D.2640.FE0F	1F926.1F3FB.200D.2640.FE0F
1F937.200D.2642.FE0F	1F937.1F3FB.200D.2642.FE0F
1F937.200D.2640.FE0F	1F937.1F3FB.200D.2640.FE0F
1F468.200D.2695.FE0F	1F468.1F3FB.200D.2695.FE0F
1F469.200D.2695.FE0F	1F469.1F3FB.200D.2695.FE0F
1F468.200D.1F393	1F468.1F3FB.200D.1F393
1F469.200D.1F393	1F469.1F3FB.200D.1F393
1F468.200D.1F3EB	1F468.1F3FB.200D.1F3EB
1F469.200D.1F3EB	1F469.1F3FB.200D.1F3EB
1F468.200D.2696.FE0F	1F468.1F3FB.200D.2696.FE0F
1F469.200D.2696.FE0F	1F469.1F3FB.200D.2696.FE0F
1F468.200D.1F33E	1F468.1F3FB.200D.1F33E
1F469.200D.1F33E	1F469.1F3FB.200D.1F33E
1F468.200D.1F373	1F468.1F3FB.200D.1F373
1F469.200D.1F373	1F469.1F3FB.200D.1F373
1F468.200D.1F527	1F468.1F3FB.200D.1F527
1F469.200D.1F527	1F469.1F3FB.200D.1F527
1F468.200D.1F3ED	1F468.1F3FB.200D.1F3ED
1F469.200D.1F3ED	1F469.1F3FB.200D.1F3ED
1F468.200D.1F4BC	1F468.1F3FB.200D.1F4BC
1F469.200D.1F4BC	1F469.1F3FB.200D.1F4BC
1F468.200D.1F52C	1F468.1F3FB.200D.1F52C
1F469.200D.1F52C	1F469.1F3FB.200D.1F52C
1F468.200D.1F4BB	1F468.1F3FB.200D.1F4BB
1F469.200D.1F4BB	1F469.1F3FB.200D.1F4BB
1F468.200D.1F3A4	1F468.1F3FB.200D.1F3A4
1F469.200D.1F3A4	1F469.1F3FB.200D.1F3A4
1F468.200D.1F3A8	1F468.1F3FB.200D.1F3A8
1F469.200D.1F3A8	1F469.1F3FB.200D.1F3A8
1F468.200D.2708.FE0F	1F468.1F3FB.200D.2708.FE0F
1F469.200D.2708.FE0F	1F469.1F3FB.200D.2708.FE0F
1F468.200D.1F680	1F468.1F3FB.200D.1F680
1F469.200D.1F680	1F469.1F3FB.200D.1F680
1F468.200D.1F692	1F468.1F3FB.200D.1F692
1F469.200D.1F692	1F469.1F3FB.200D.1F692
1F46E	1F46E.1F3FB
1F46E.200D.2642.FE0F	1F46E.1F3FB.200D.2642.FE0F
1F46E.200D.2640.FE0F	1F46E.1F3FB.200D.2640.FE0F
1F575	1F575.1F3FB
1F575.200D.2642.FE0F	1F575.1F3FB.200D.2642.FE0F
1F575.200D.2640.FE0F	1F575.1F3FB.200D.2640.FE0F
1F482	1F482.1F3FB
1F482.200D.2642.FE0F	1F482.1F3FB.200D.2642.FE0F
1F482.200D.2640.FE0F	1F482.1F3FB.200D.2640.FE0F
1F977	1F977.1F3FB
1F477	1F477.1F3FB
1F477.200D.2642.FE0F	1F477.1F3FB.200D.2642.FE0F
1F477.200D.2640.FE0F	1F477.1F3FB.200D.2640.FE0F
1F934	1F934.1F3FB
