㐀	swwsw
㐁	wszadw
㐂	wzwzwz
㐃	zds
㐄	wzs
㐅	ad
㐆	aazwwz
㐇	azz
㐈	adz
㐉	wzz
㐊	wswz
㐋	wswz
㐌	awzsz
㐍	addaz
㐎	dwadz
㐏	wszwz
㐐	zawzdz
㐑	azdddz
㐒	zaszwz
㐓	wszwzz
㐔	dwszwz
㐕	szwswz
㐖	wswszwz
㐗	wswawzz
㐘	dawsadz
㐙	wszwdawz
㐚	wszwszwz
㐛	aswaszwz
㐜	wzddaddaz
㐝	wzwazszwz
㐞	wsswwwadz
㐟	awwwswwwz
㐠	addazzwz
㐡	azwaszsswad
㐢	dddaddazzwz
㐣	dwawszwwwsz
㐤	azwsszwwwwad
㐥	adwwsdawszwwwzaz
㐦	wszaaswwzwwwadawwzz
㐧	zzda
㐨	zdzzzdzz
㐩	wwaswwas
㐪	wzsad
㐫	dwadzs
㐬	dwzdasz
㐭	dwszszww
㐮	dwadwwsswazad
㐯	dwszwszwawsadszww
㐰	asszw
㐱	adaaa
㐲	aswad
㐳	aswaz
㐴	asazd
㐵	aswwz
㐶	aszwz
㐷	aszzw
㐸	asazad
㐹	asawwz
㐺	asasad
㐻	asszad
㐼	asaaws
㐽	asazad
㐾	aswwaz
㐿	asawwz
㑀	aswadd
㑁	asszszs
㑂	aswszad
㑃	aszzdza
㑄	aszzddw
㑅	asawsww
㑆	asszwaz
㑇	asazzww
㑈	aswzzad
㑉	asazwazd
㑊	asdwazad
㑋	asszwssw
㑌	aswwwswz
㑍	asawwsad
㑎	aszzzszs
㑏	asddzwzd
㑐	asswwzad
㑑	asaszwww
㑒	adwszwad
㑓	aszdwazd
㑔	aswaszad
㑕	asszsazd
㑖	asasszws
㑗	asaszwwwa
㑘	aswwaszda
㑙	aswsswwwz
㑚	aszwwazzs
㑛	aswszwsad
㑜	aswzwaaws
㑝	aswwswwas
㑞	asdaadwas
㑟	asaswswad
㑠	assszdwsw
㑡	aszwwzdzs
㑢	aswswzdzs
㑣	aswsadwsad
㑤	asswwsszwsw
㑥	asszwwazaa
㑦	asaazwwadd
㑧	asawsadzzw
㑨	asszwawwad
㑩	asszsswazd
㑪	asdwadasww
㑫	asadwzdzdd
㑬	aszawwsszw
㑭	asszwswwas
㑮	asdzwszwwws
㑯	aswaszwwwad
㑰	aszzwazaaad
㑱	aszdzzawsad
㑲	aswsszdawws
㑳	asazzsaazzsa
㑴	aszwwdzszszd
㑵	asdwaddawwad
㑶	asawwzdawsad
㑷	aszdazddwzwz
㑸	aswsszwwszwz
㑹	adwszwswszww
㑺	asasdwwwswaz
㑻	asddzdzddaszs
㑼	asszwswazdszw
㑽	assdadzszwwsw
㑾	asazdddwwwszw
㑿	aszzzszwwwsad
㒀	asdwdaszwsszw
㒁	asszwswdawwsw
㒂	asswwswswaszww
㒃	aswwwszwwwadzd
㒄	asazddwadddddd
㒅	asdwazdazdazad
㒆	asadwszwzddzdd
㒇	asawwsssswdddd
㒈	aswswsswwwawad
㒉	assdadzszwwsad
㒊	aszadzadswswswsw
㒋	aswsswwwadaaws
㒌	asdaaddaaddzaz
㒍	aszdzdzdzzdzad
㒎	aswwadawwwswww
㒏	asddzwwsswaddd
㒐	asawdawdazszww
㒑	aswdddasdwwwswz
㒒	asssdawdawwwsad
㒓	aswswdawwwsdzzd
㒔	asszsswazszwswd
㒕	asdwzzaasdwwwsw
㒖	asswwsszwwszswd
㒗	aswsswwdzwzdwsw
㒘	aswszwszzddwdaw
㒙	aszzddddaszwwszs
㒚	asaddawswzwwdzdd
㒛	aszddzddasdwwwsw
㒜	aswszaaswwzwwwad
㒝	asswwsszsswwadzda
㒞	asszsasdwwwswszsz
㒟	asdwswwwszddddazad
㒠	asswazdzdswwwswwww
㒡	asazddawwszsazzdzad
㒢	asadwszwszwszwszwss
㒣	asdwaasasdwwwswdzdd
㒤	aswsswwwwsswwwwsswww
㒥	asswwwswwwszswszwdaw
㒦	asszwswszwswszwswwsw
㒧	asdwadzsszswdasdwwwsw
㒨	asaszwszwaswwzwwwadzwz
㒩	aszzwazaaadszwswdszwswd
㒪	adwszwszwszwszswswwazaaad
㒫	wswwaz
㒬	wwazwwsw
㒭	szwazszwaz
㒮	wwazwazaaad
㒯	sdawazswwswswwswws
㒰	adwsw
㒱	adazd
㒲	adszww
㒳	szsadad
㒴	adszszs
㒵	aszwwad
㒶	adaszww
㒷	szadwad
㒸	dawazaaad
㒹	wsszwwwwadwsszwwwwad
㒺	szdawadz
㒻	szwwszwwwaz
㒼	wsswszsadad
㒽	szwwdawwadzz
㒾	szwwdwzaawzsz
㒿	szwwdwadzsszswdasdwwwsw
㓀	dzsd
㓁	dzaz
㓂	dzwwazzaw
㓃	dzdwwwszwawz
㓄	zdzdzdadaaadzaz
㓅	ddwz
㓆	ddadaz
㓇	ddawad
㓈	ddwaszw
㓉	ddwwsszw
㓊	ddszwszw
㓋	ddwsswad
㓌	ddadwwsw
㓍	dddwzdaz
㓎	ddzwwdzzd
㓏	ddszazszw
㓐	ddwswazwsw
㓑	ddwswdawws
㓒	ddwzadzddd
㓓	ddwsszdawws
㓔	ddaszwwwawzd
㓕	ddwawdaadzda
㓖	ddszwswwsswws
㓗	ddwwwszazzdzad
㓘	azwazddwwsw
㓙	dwadzs
㓚	wswsz
㓛	wswza
㓜	zzdza
㓝	wwassz
㓞	awwsza
㓟	azszdsz
㓠	swszwsz
㓡	awwszssz
㓢	azdszwsz
㓣	adwszwsz
㓤	wswszwsz
㓥	sdazwwsz
㓦	waszwwsz
